iter	Passed	Remaining
399	48123	48123
400	48230	47990
401	48359	47878
402	48482	47760
403	48620	47657
404	48736	47533
405	48872	47427
406	48986	47300
407	49107	47181
408	49228	47062
409	49371	46963
410	49496	46846
411	49623	46733
412	49746	46614
413	49864	46492
414	49988	46374
415	50110	46255
416	50228	46133
417	50341	46006
418	50467	45890
419	50584	45767
420	50703	45645
421	50826	45527
422	50954	45413
423	51078	45296
424	51196	45173
425	51303	45041
426	51421	44918
427	51545	44801
428	51666	44680
429	51782	44556
430	51915	44447
431	52020	44313
432	52151	44202
433	52270	44080
434	52386	43956
435	52503	43832
436	52621	43711
437	52712	43565
438	52839	43450
439	52950	43323
440	53061	43194
441	53200	43089
442	53337	42983
443	53465	42868
444	53579	42742
445	53707	42629
446	53835	42514
447	53953	42391
448	54070	42268
449	54188	42146
450	54325	42039
451	54472	41938
452	54590	41816
453	54717	41700
454	54841	41583
455	54974	41472
456	55120	41370
457	55251	41257
458	55382	41145
459	55507	41027
460	55625	40904
461	55751	40787
462	55868	40664
463	55994	40547
464	56130	40438
465	56263	40326
466	56377	40200
467	56491	40074
468	56626	39964
469	56747	39843
470	56865	39721
471	56992	39604
472	57135	39499
473	57260	39381
474	57380	39260
475	57504	39141
476	57624	39020
477	57755	38906
478	57876	38785
479	58015	38676
480	58144	38561
481	58257	38435
482	58405	38332
483	58527	38212
484	58658	38097
485	58775	37974
486	58912	37863
487	59039	37746
488	59155	37622
489	59279	37503
490	59400	37382
491	59517	37259
492	59636	37136
493	59767	37021
494	59896	36905
495	60020	36786
496	60143	36666
497	60265	36546
498	60380	36421
499	60496	36297
500	60615	36175
501	60736	36054
502	60854	35932
503	60997	35823
504	61114	35700
505	61230	35576
506	61341	35450
507	61464	35329
508	61596	35215
509	61712	35091
510	61844	34976
511	61964	34855
512	62080	34731
513	62187	34602
514	62308	34481
515	62432	34361
516	62557	34243
517	62687	34127
518	62808	34005
519	62921	33880
520	63058	33768
521	63184	33650
522	63307	33529
523	63430	33410
524	63543	33284
525	63681	33172
526	63816	33058
527	63935	32936
528	64055	32814
529	64173	32692
530	64292	32569
531	64421	32452
532	64552	32336
533	64677	32217
534	64797	32095
535	64924	31977
536	65051	31859
537	65176	31740
538	65308	31624
539	65426	31501
540	65545	31379
541	65664	31257
542	65782	31134
543	65902	31013
544	66028	30894
545	66173	30784
546	66300	30665
547	66427	30546
548	66561	30431
549	66685	30311
550	66806	30190
551	66922	30066
552	67036	29942
553	67153	29818
554	67266	29694
555	67383	29571
556	67504	29449
557	67647	29338
558	67780	29221
559	67897	29098
560	68021	28978
561	68146	28859
562	68270	28739
563	68395	28619
564	68516	28498
565	68635	28375
566	68767	28259
567	68896	28140
568	69022	28021
569	69090	27878
570	69221	27761
571	69347	27642
572	69463	27518
573	69591	27400
574	69712	27278
575	69839	27159
576	69958	27037
577	70080	26916
578	70199	26794
579	70326	26675
580	70458	26558
581	70570	26433
582	70692	26312
583	70806	26188
584	70927	26067
585	71060	25950
586	71186	25830
587	71314	25712
588	71433	25590
589	71563	25471
590	71691	25352
591	71809	25230
592	71942	25113
593	72067	24993
594	72180	24869
595	72287	24742
596	72403	24619
597	72527	24499
598	72646	24377
599	72761	24253
600	72887	24134
601	73010	24013
602	73130	23891
603	73249	23769
604	73375	23650
605	73485	23524
606	73612	23405
607	73726	23282
608	73857	23163
609	73981	23043
610	74108	22923
611	74243	22806
612	74369	22686
613	74499	22568
614	74636	22451
615	74768	22333
616	74894	22213
617	75014	22091
618	75140	21971
619	75276	21854
620	75401	21733
621	75529	21614
622	75656	21494
623	75772	21371
624	75889	21249
625	76014	21128
626	76134	21006
627	76262	20887
628	76386	20766
629	76517	20647
630	76638	20526
631	76764	20405
632	76930	20296
633	77067	20178
634	77193	20058
635	77324	19939
636	77459	19820
637	77594	19702
638	77736	19586
639	77865	19466
640	77986	19344
641	78116	19225
642	78242	19104
643	78366	18983
644	78494	18863
645	78627	18744
646	78766	18626
647	78889	18504
648	79021	18385
649	79139	18263
650	79260	18141
651	79385	18020
652	79537	17905
653	79649	17781
654	79779	17661
655	79907	17540
656	80028	17418
657	80163	17299
658	80320	17185
659	80452	17065
660	80579	16944
661	80707	16824
662	80832	16702
663	80951	16580
664	81065	16456
665	81176	16332
666	81302	16211
667	81428	16090
668	81551	15968
669	81677	15847
670	81829	15731
671	81961	15611
672	82094	15491
673	82226	15371
674	82350	15250
675	82484	15130
676	82604	15007
677	82728	14886
678	82841	14762
679	82965	14640
680	83093	14519
681	83236	14401
682	83352	14278
683	83480	14157
684	83578	14031
685	83702	13909
686	83824	13787
687	83940	13664
688	84023	13536
689	84141	13413
690	84280	13294
691	84409	13173
692	84532	13051
693	84652	12929
694	84771	12807
695	84901	12686
696	85017	12563
697	85130	12440
698	85259	12319
699	85393	12199
700	85537	12080
701	85650	11956
702	85772	11834
703	85897	11713
704	86020	11591
705	86141	11469
706	86251	11345
707	86367	11222
708	86488	11100
709	86607	10978
710	86737	10857
711	86870	10736
712	86990	10614
713	87109	10492
714	87223	10369
715	87333	10245
716	87461	10124
717	87593	10003
718	87714	9881
719	87836	9759
720	87948	9636
721	88071	9514
722	88192	9392
723	88329	9272
724	88447	9149
725	88532	9023
726	88672	8903
727	88808	8783
728	88934	8661
729	89058	8539
730	89168	8416
731	89304	8296
732	89447	8175
733	89570	8054
734	89684	7931
735	89797	7808
736	89922	7686
737	90054	7565
738	90173	7443
739	90243	7317
740	90371	7195
741	90496	7073
742	90624	6952
743	90761	6831
744	90892	6710
745	90997	6586
746	91114	6464
747	91249	6343
748	91371	6221
749	91527	6101
750	91658	5980
751	91791	5859
752	91929	5737
753	92044	5615
754	92161	5493
755	92276	5370
756	92395	5248
757	92511	5125
758	92637	5004
759	92770	4882
760	92890	4760
761	93019	4638
762	93155	4517
763	93272	4395
764	93414	4273
765	93559	4152
766	93700	4031
767	93825	3909
768	93971	3788
769	94106	3666
770	94226	3544
771	94333	3421
772	94451	3299
773	94570	3176
774	94703	3054
775	94830	2932
776	94938	2810
777	95073	2688
778	95201	2566
779	95321	2444
780	95475	2322
781	95626	2201
782	95755	2078
783	95900	1957
784	96034	1835
785	96168	1712
786	96301	1590
787	96418	1468
788	96536	1345
789	96660	1223
790	96784	1101
791	96902	978
792	97052	856
793	97166	734
794	97289	611
795	97429	489
796	97560	367
797	97676	244
798	97796	122
799	97924	0
