iter	RMSE
425	0.2695872668
426	0.2695784007
427	0.2695687325
428	0.2695597231
429	0.269550283
430	0.2695450379
431	0.2695415549
432	0.2695380128
433	0.2695314837
434	0.2695208799
435	0.2695112936
436	0.2695066205
437	0.2694974198
438	0.2694908525
439	0.2694808032
440	0.2694627196
441	0.2694565272
442	0.2694483086
443	0.26944415
444	0.2694373889
445	0.269431028
446	0.269417146
447	0.2694114967
448	0.2694066817
449	0.2693972607
450	0.2693897225
451	0.2693879866
452	0.2693737159
453	0.2693675217
454	0.2693628307
455	0.2693557003
456	0.2693451539
457	0.2693368846
458	0.2693292357
459	0.2693184324
460	0.2693134523
461	0.2693058388
462	0.2692967809
463	0.2692885701
464	0.2692786557
465	0.2692704888
466	0.2692625535
467	0.2692565855
468	0.269248875
469	0.2692371511
470	0.2692316115
471	0.2692222333
472	0.2692175993
473	0.2692110744
474	0.269201317
475	0.2691937197
476	0.2691882327
477	0.2691852768
478	0.2691808446
479	0.2691769434
480	0.2691730729
481	0.2691678738
482	0.269160887
483	0.2691552079
484	0.2691484252
485	0.2691403198
486	0.2691336937
487	0.2691277582
488	0.2691169231
489	0.269108509
490	0.2691034242
491	0.2690990486
492	0.2690928772
493	0.2690849024
494	0.2690741719
495	0.2690691835
496	0.2690642002
497	0.2690628123
498	0.2690521067
499	0.2690465167
500	0.2690398222
501	0.2690351202
502	0.269029322
503	0.269022239
504	0.269017981
505	0.2690082589
506	0.2689934351
507	0.2689842774
508	0.2689778498
509	0.2689710405
510	0.2689667206
511	0.2689643998
512	0.268960209
513	0.2689536631
514	0.2689512238
515	0.2689420788
516	0.2689416753
517	0.2689325646
518	0.2689248409
519	0.2689204913
520	0.2689140703
521	0.2689060021
522	0.2689002797
523	0.2688876196
524	0.2688843049
525	0.2688823004
526	0.26887627
527	0.268871227
528	0.268864054
529	0.2688577072
530	0.2688521462
531	0.2688428865
532	0.2688347014
533	0.2688281733
534	0.2688239347
535	0.2688188633
536	0.2688110173
537	0.2688065043
538	0.2687984238
539	0.2687861634
540	0.268780511
541	0.268774367
542	0.2687679493
543	0.2687587112
544	0.2687550074
545	0.2687487701
546	0.2687448036
547	0.2687392987
548	0.2687338504
549	0.2687287247
550	0.2687234812
551	0.2687203873
552	0.2687103745
553	0.2687034036
554	0.2686890517
555	0.2686815132
556	0.268678807
557	0.2686715595
558	0.2686654391
559	0.2686584624
560	0.2686551077
561	0.2686517763
562	0.268646701
563	0.2686416464
564	0.2686356086
565	0.2686257425
566	0.2686193266
567	0.2686151812
568	0.26860976
569	0.2686044916
570	0.2686009812
571	0.2685990766
572	0.2685937862
573	0.2685896535
574	0.2685825494
575	0.2685765865
576	0.2685709003
577	0.2685627848
578	0.2685562762
579	0.2685512472
580	0.2685479143
581	0.2685433703
582	0.2685372278
583	0.2685317334
584	0.2685293248
585	0.268526306
586	0.268517578
587	0.2685099297
588	0.2685022872
589	0.2684966439
590	0.2684912004
591	0.268487047
592	0.2684838432
593	0.2684836896
594	0.2684714283
595	0.2684650459
596	0.2684576144
597	0.2684555854
598	0.268449839
599	0.2684450299
600	0.2684409305
601	0.2684370711
602	0.2684341934
603	0.2684298794
604	0.2684284842
605	0.2684255571
606	0.2684191575
607	0.2684186309
608	0.268414623
609	0.2684048375
610	0.268394356
611	0.2683908512
612	0.2683865052
613	0.2683821922
614	0.268379758
615	0.2683737077
616	0.2683684557
617	0.2683639151
618	0.2683596654
619	0.2683549552
620	0.2683534207
621	0.2683465401
622	0.2683429528
623	0.2683365062
624	0.26833259
625	0.2683287037
626	0.2683230433
627	0.2683179829
628	0.2683120444
629	0.2683066305
630	0.2683008226
631	0.2682951296
632	0.2682901334
633	0.2682863144
634	0.2682820738
635	0.2682764355
636	0.2682711197
637	0.2682652426
638	0.2682621279
639	0.2682532264
640	0.2682482923
641	0.2682474787
642	0.2682423696
643	0.2682358601
644	0.2682305713
645	0.2682258504
646	0.268221778
647	0.2682153977
648	0.268211546
649	0.2682059559
650	0.2681981988
651	0.268193586
652	0.2681874459
653	0.2681806346
654	0.2681775726
655	0.2681750559
656	0.2681697421
657	0.2681662458
658	0.2681632027
659	0.2681609262
660	0.2681554289
661	0.2681496678
662	0.268145444
663	0.2681422907
664	0.2681411722
665	0.2681370646
666	0.2681282858
667	0.2681232104
668	0.2681190558
669	0.2681147508
670	0.2681117577
671	0.2681027969
672	0.2680986513
673	0.268094935
674	0.2680920839
675	0.2680879405
676	0.2680839957
677	0.2680804847
678	0.2680711717
679	0.2680671587
680	0.2680668259
681	0.2680626854
682	0.2680578554
683	0.268053372
684	0.2680523692
685	0.2680449671
686	0.2680383832
687	0.2680351026
688	0.2680299734
689	0.2680234231
690	0.2680198229
691	0.2680154445
692	0.2680119412
693	0.2680057229
694	0.2679976097
695	0.2679960196
696	0.2679872182
697	0.2679766061
698	0.2679737387
699	0.2679640968
700	0.2679605345
701	0.2679553235
702	0.2679514016
703	0.2679494935
704	0.2679445049
705	0.2679399395
706	0.2679348165
707	0.2679289813
708	0.2679233962
709	0.2679184383
710	0.2679130864
711	0.2679099788
712	0.2679049425
713	0.2679000029
714	0.2678940092
715	0.2678921482
716	0.2678880337
717	0.2678793105
718	0.2678754969
719	0.2678684116
720	0.2678638222
721	0.2678598898
722	0.2678575445
723	0.2678548708
724	0.2678501542
725	0.267847373
726	0.2678457838
727	0.2678397236
728	0.2678348956
729	0.2678292015
730	0.2678224941
731	0.2678192919
732	0.2678157813
733	0.2678107689
734	0.2678068501
735	0.2678061533
736	0.2678019638
737	0.2677976366
738	0.2677917953
739	0.2677864206
740	0.267781631
741	0.2677788936
742	0.267773706
743	0.2677710737
744	0.2677677071
745	0.2677646155
746	0.2677583847
747	0.2677559481
748	0.2677503004
749	0.2677466503
750	0.267741274
751	0.2677339894
752	0.2677314326
753	0.2677265464
754	0.2677244144
755	0.2677208427
756	0.2677156387
757	0.2677124823
758	0.2677099312
759	0.2677039879
760	0.2676995845
761	0.267693142
762	0.2676893365
763	0.2676863021
764	0.2676829399
765	0.2676782773
766	0.2676736341
767	0.2676690748
768	0.2676648202
769	0.26766073
770	0.2676554498
771	0.2676501815
772	0.2676433402
773	0.2676407935
774	0.2676348918
775	0.2676309116
776	0.2676260392
777	0.2676236907
778	0.2676202816
779	0.2676162531
780	0.2676114365
781	0.2676073023
782	0.2675990757
783	0.2675947912
784	0.2675906891
785	0.2675866582
786	0.267582965
787	0.2675785065
788	0.2675722023
789	0.2675668511
790	0.2675640237
791	0.2675575711
792	0.2675553076
793	0.2675543742
794	0.2675502595
795	0.2675458665
796	0.2675431841
797	0.2675383702
798	0.2675334011
799	0.2675299183
